在访问印度期间他在新德里人居中心演出	1	印度	3	5
从那时起雷科莱塔一直是布宜诺斯艾利斯最时尚、最昂贵的街区之一拥有私人住宅、外国大使馆和豪华酒店包括阿尔韦亚尔宫酒店	1	雷科莱塔	4	8
该公司目前的重点是阿根廷境内的锂和硼砂开采业务	1	阿根廷	9	12
提比提巴是印度伟大的瑜伽士和古鲁	1	印度	5	7
据推测最古老和最基本的所有其他部落尽管现在仅限于新几内亚内陆某些较难进入的地区也可能限于东部群岛的一些岛屿是一些黑人或类似黑人的部落迄今为止我们对这些部落知之甚少	1	新几内亚	24	28
他的父母托马斯和弗朗西斯·蒙托亚是18世纪西班牙移民到新墨西哥州的罗马天主教后裔	1	新墨西哥州	27	32
她死于慕尼黑附近的斯托克多夫	1	斯托克多夫	9	14
在由车间管理员转为经理的科林·拉泽里尼（Colin Lazzerini）的监督下乐队选择了“松管”这个名字并于1984年在伦敦演出了第一场音乐会	1	伦敦	61	63
在欧洲发现包括德国、捷克共和国和芬兰	1	德国	7	9
大约一个月后这艘船在加拿大圣劳伦斯河与挪威的一艘破冰船头运煤船SS Storstad相撞后沉没	1	加拿大	10	13
这张图片是从Wikimedia Commons移走的因为发现它可能在澳大利亚境内受版权保护	1	澳大利亚	34	38
射程将继续穿越墨西哥	1	墨西哥	7	10
Darbhanga Lok Sabha选区是印度东部比哈尔邦40个Lok Sabha（议会）选区之一	1	比哈尔邦	26	30
Anna Jóelsdóttir（生于1947年）是一位冰岛当代艺术家现居住在雷克雅未克她以油画雕塑作品而闻名油画作品通常作为现场特定装置创作	1	雷克雅未克	39	44
Ion PopescuGopo曾就读于布加勒斯特美术学院（但从未毕业）	1	布加勒斯特	19	24
他移民到加拿大1968年18岁时在多伦多定居	1	多伦多	17	20
他在1641年叛乱前离开爱尔兰1654年8月11日死于伦敦	1	爱尔兰	12	15
在哈佛大学维尔接受了六个月的方法演员培训并在莫斯科艺术剧院演出了八部戏剧	1	哈佛	1	3
当穆塞特抓住她时她正从里斯本航行到利物浦	1	里斯本	11	14
在此期间他还是夏威夷（当时仍然是美国领土）的军事总督和美国海军司令s太平洋地区的陆军部队	1	夏威夷	7	10
截至2001年印度人口普查库内兰的人口为1500人	1	印度	7	9
1998年11月17日在贝尼文托00战平意大利的友谊赛中他唯一一次代表21岁以下国家队出场	1	贝尼文托	12	16
阿扎特是意大利北部伦巴第地区瓦雷泽省的一个城镇和科穆尼	1	瓦雷泽	14	17
乌姆巴卡国家体育场是安哥拉本格拉的一个多用途体育场	1	本格拉	13	16
自2002年以来合唱团定期在法国、德国、冰岛、爱尔兰、意大利、拉脱维亚、荷兰、葡萄牙、俄罗斯、西班牙和乌克兰演出	1	乌克兰	51	54
这一类别包含加蓬的本地植物区系如记录植物分布的世界地理计划所定义	1	加蓬	6	8
从商业角度看“女孩的感觉”在世界上大多数音乐排行榜上都很成功在澳大利亚、加拿大、丹麦、芬兰、日本和英国等十多个国家的前十名中达到顶峰	1	芬兰	43	45
2008年12月俄罗斯军舰应总统丹尼尔·奥尔特加（Daniel Ortega）的邀请访问了尼加拉瓜尽管反对党宪政自由党的威尔弗雷多·纳瓦罗（Wilfredo Navarro）表示如果没有议会批准海军访问将违反宪法	1	尼加拉瓜	45	49
卢森堡的法律是民法	1	卢森堡	0	3
第七军的第六军团在阿尔卑斯山与美国第五军会合第五军通过意大利作战第三军进军奥地利和捷克斯洛伐克在那里与从东部推进的苏联军队会合	1	奥地利	37	40
Falconara Marittima是意大利亚得里亚海岸的海滨度假胜地位于安科纳省Marche地区安科纳以北9公里（56英里）	1	安科纳	38	41
IOCC是仍在叙利亚境内工作的少数机构之一并继续支持该国最大的人道主义网络之一	1	叙利亚	7	10
摩纳哥赛事在过去的10年中有所发展——该赛事现在占据了整个勒梅里丁海滩广场酒店的整个比赛周末	1	摩纳哥	0	3
它部分位于巴基斯坦和阿富汗之间的（部落）地区	1	巴基斯坦	5	9
虽然这部电影最初是一部电视纪录片为澳大利亚SBS制作但此后它在世界各地的电影节和有关该主题的介绍会上放映	1	澳大利亚	17	21
该山脉从美国得克萨斯州最西端（仅限于奇索斯山脉和戴维斯山脉）向南延伸至墨西哥大部分地区广泛分布于马德雷山脉东部和马德雷山脉西部而在东埃厄沃尔卡尼科横向山脉中更为罕见	1	得克萨斯州	6	11
尼加拉瓜在莫斯科设有大使馆	1	莫斯科	5	8
《我们被迷住了》于2008年4月在Plug Research和《耸肩记录》上发布并在荷兰和美国中西部的节目中得到支持	1	美国中西部	45	50
2006年她加入了土耳其主要企业集团之一的多乌集团（DoğuşGroup）担任对外事务经理	1	土耳其	9	12
他参加了世界锦标赛包括2006年在丹麦奥胡斯举行的世界艺术体操锦标赛	1	奥胡斯	19	22
它是法国苏丹的一个正式地区但在1895年苏丹和塞内加尔之间的边界移到了法莱梅河该地区的西部位于塞内加尔境内	1	苏丹	4	6
法国的橱柜可能不同于德国、中国或英国等国家的橱柜	1	中国	13	15
NCC致力于通过财产安全和财产的长期管理和恢复实现对加拿大最重要自然区域的直接保护	1	加拿大	26	29
1990年墨西哥与哥伦比亚、巴拿马和委内瑞拉政府一起成立了Contadora集团试图调解当时困扰该地区的中美洲危机	1	巴拿马	14	17
德国酿酒师乔治·鲁伯林于19世纪中叶移民到美国1849年抵达马奎特这座城市建立后不久	1	马奎特	30	33
La Serena最初是根据西班牙佩德罗·德·瓦尔迪维亚（Pedro de Valdivia）的命令建立的目的是提供一条海上通道以保持圣地亚哥和秘鲁总督府利马之间的永久联系	1	利马	77	79
它将哈萨克斯坦的乌赞与土库曼斯坦的贝雷克特埃特克连接起来最后到达伊朗戈勒斯坦省的戈尔甘	1	伊朗	32	34
该领土于1793年建立以安置美国独立战争后被驱逐出美国的莫霍克人	1	美国	14	16
他安排了许多流行的波兰民谣还有许多原创歌曲这些都是今天美国各地波尔卡乐队使用的	1	美国	27	29
50年代经意大利移民巴西后他在里约热内卢定居	1	里约热内卢	15	20
它的任务是保护总统和开罗的国家政府	1	开罗	10	12
阿卡迪亚是澳大利亚维多利亚州的一个小镇	1	阿卡迪亚	0	4
Selmar Aschheim（1878年10月4日至1965年2月15日）是德国妇科医生柏林本地居民	1	柏林	45	47
Australopyrum是草科植物的一个属原产于澳大利亚、新西兰和新几内亚	1	澳大利亚	25	29
基尼是爱沙尼亚南部瓦尔加县桑加斯特教区的一个村庄	1	瓦尔加县	9	13
比肯山是格洛斯特市的一部分直到2001年与渥太华新城合并	1	比肯山	0	3
这条线路主要沿着现在的斯威特沃特路通过惠灵顿断流线直接连接到惠灵顿北端的3号州际公路（现在的SR 208）而不是现在的惠灵顿附近的北部终点站	1	惠灵顿	19	22
返回黎巴嫩后他被指派为军校学员军官的军事培训师为期两年然后被派到开罗的埃及军队接受反坦克导弹培训师的军事课程然后在装甲部队担任贝鲁特黎巴嫩军队反坦克自治部队的指挥官直到1976年6月	1	开罗	32	34
自由镇是美国俄亥俄州巴特勒县十三个镇之一位于该县的中东部门罗市的南部	1	自由镇	0	3
在这一集中小跑者们同意从阿姆斯特丹走私钻石给博伊西	1	阿姆斯特丹	12	17
在植物地理上加勒比地区通常被认为包括美国（包括南佛罗里达）、墨西哥（特别是尤卡坦）、伯利兹、哥伦比亚和委内瑞拉的沿海平原	1	美国	18	20
Okamule是纳米比亚Oshana地区OshakatiWest选区的一个村庄	1	纳米比亚	8	12
第一次世界大战爆发时朗回到维也纳自愿在奥地利军队服役并在俄罗斯和罗马尼亚作战在那里他三次受伤	1	罗马尼亚	32	36
霍恩卡斯尔是林肯郡的一个县选区该选区选出一名国会议员（MP）进入英国议会下议院	1	林肯郡	6	9
该特辑的一部分是在阿姆斯特丹拍摄的与大多数其他剧集不同它完全是在电影中拍摄的因此不是在演播室观众面前拍摄的（让观众开怀大笑——无音轨）	1	阿姆斯特丹	9	14
1853年波拿巴根据在玻利维亚采集的标本对其进行了描述	1	玻利维亚	11	15
雅克洛马河（ЯЯЯааааааааа）是塞斯特拉河的一条右支流流经俄罗斯莫斯科州北部的泥炭沼泽网络全长78公里	1	莫斯科州	36	40
六个月后菲尔丁返回开罗并于1942年10月15日被授予杰出服务令	1	开罗	9	11
鲁道夫·塔尔哈默（生于1935年2月1日）曾是奥地利大奖赛摩托车公路赛车手	1	奥地利	23	26
澳大利亚队在英格兰的首次胜利受到了英国媒体的广泛谴责包括发表了一篇讽刺讣告其中说英国板球队已经死亡尸体将被火化骨灰将运到澳大利亚	1	英格兰	6	9
它建在华沙轨道线上穿过华沙格但斯卡站	1	华沙	3	5
魟鲱或中国鲱鱼（魟魟魟魟魟魟）是魟科鱼类分布于西印度洋、孟加拉湾、爪哇海和南中国海	1	印度洋	24	27
2008年1月德斯波托维奇在罗马尼亚与俱乐部Rapid București签约并在随后的夏天继续在国外工作加入西班牙皇家穆尔西亚队三年收入1欧元500万	1	西班牙	55	58
“偷来的一代的证词”项目由梅勒妮·霍根创建是一项在电影中记录澳大利亚偷来的一代幸存者的个人证词并在线分享的计划	1	澳大利亚	30	34
2015年琥珀酒廊将在摩纳哥、新加坡、墨西哥城和阿布扎比举行	1	墨西哥城	19	23
毕业于哥本哈根皇家学院隶属于JL隆德他游历了欧洲在那里他寻求灵感尤其是从慕尼黑的风景中	1	哥本哈根	3	7
Lipulekh（也称为TriCorner）是尼泊尔、印度和中国之间的喜马拉雅山口连接西北偏僻的尼泊尔Byash河谷和印度的北方邦以及西藏古老的贸易城镇Taklakot（Purang）属于尼泊尔	1	印度	27	29
墨西哥战争带来了新的绝望的工人进入美国甚至来自洪都拉斯	1	美国	17	19
他曾在休斯顿和墨西哥之间的嘉年华游轮上担任船上喜剧演员	1	墨西哥	7	10
JeanReneéJérôme（19421991）是海地画家被认为是海地最伟大的艺术家之一	1	海地	26	28
她的突破性角色出现在史诗《基督》中该片在巴勒斯坦和埃及拍摄	1	埃及	25	27
2010年在决赛中输给美国选手亚历山大·马西亚拉后他在巴库又获得了一枚学员词汇银牌	1	美国	11	13
法国的生活令人兴奋在那里他周游法国进入西班牙	1	西班牙	19	22
萨维特出生于舒姆斯克当时是俄罗斯帝国的一部分（现在是乌克兰的一部分）在费城长大	1	费城	35	37
Alveopora Windowestrata是一种石珊瑚分布于红海、亚丁湾、印度洋西南部和北部、印度洋中部、太平洋中部、澳大利亚、东南亚和大洋西太平洋	1	亚丁湾	35	38
根据斯特恩评论和其他报道澳大利亚被指定为最易受气候变化影响的国家之一部分原因是其农业部门的重要性和沿海地区的突出地位	1	澳大利亚	12	16
他回到伦敦与小说唱片公司签约	1	伦敦	3	5
国家航空航天技术研究所是西班牙的航天局	1	西班牙	12	15
例如1953年LCC对伦敦的发展计划草案进行了调查伯蒙西和罗瑟利斯商会反对公园扩建	1	伦敦	11	13
莫桑比克雨蛙又称扁脸蛙是短尾蛙科的一种蛙	1	莫桑比克	0	4
他是康拉德三世和他的第三任妻子安娜的长子安娜是维尔纽斯的沃沃沃德老米科拉杰·拉齐维的女儿也是立陶宛的第一任大总理	1	立陶宛	46	49
新弹药筒的装填已标准化并于19001901年在德国卡尔斯鲁厄的DWM工厂开始批量生产	1	卡尔斯鲁厄	25	30
MCA现在已经在英国海岸建立了一个自动识别系统（AIS）网络用于实时跟踪和监控来自海岸的船舶运动	1	英国	8	10
1982年他就读于伦敦郊区德威治的Ivor Spencer管家和私人助理学校	1	伦敦	9	11
罗萨里奥或布宜诺斯艾利斯等城市中心的繁荣并没有改变这样一个事实：它们在阿根廷北部或科尔多瓦已经非常受欢迎	1	布宜诺斯艾利斯	5	12
它们主要分布在美国但在加拿大也有出现	1	加拿大	11	14
钒铅矿矿床现在在全世界范围内发现包括奥地利、西班牙、苏格兰、乌拉尔山脉、南非、纳米比亚、摩洛哥、阿根廷、墨西哥以及美国亚利桑那州、科罗拉多州、新墨西哥州和南达科他州	1	苏格兰	26	29
它们也被收集起来供人类食用是墨西哥使用最广泛的松子	1	墨西哥	14	17
2004年它吸引了75000多名外国游客来到贝尔格莱德2005年它以300000名游客成为塞尔维亚第二大旅游节	1	贝尔格莱德	22	27
1910年他离开维也纳环游世界游历了欧洲和非洲后来又游历了亚洲和太平洋地区	1	亚洲	29	31
他在非洲西海岸与船长争吵被解雇工资被骗被遗弃在几内亚湾的王子岛上	1	王子岛	28	31
1890年6月10日比利时举行了部分普选	1	比利时	10	13
Alexander Bertschler（生于1994年7月11日）是一名来自奥地利的男性下弯弓箭手	1	奥地利	39	42
最后一集在英国受到好评而在美国则褒贬不一s	1	英国	5	7
因此2010年巴基斯坦洪水被认为是三角洲生态系统和人口的“好消息”因为它们带来了急需的淡水	1	巴基斯坦	7	11
Canarium australianum是一种树木原产于澳大利亚和巴布亚新几内亚属于牛蒡科植物	1	巴布亚新几内亚	34	41
有几个是众所周知的——伦敦德里和汤姆斯的屋顶花园和纽约的洛克菲勒中心马尔加姆的特温伊尔海德别墅的花园以及他在英国伊弗科宾斯为维多利亚公主建造的岩石和水花园	1	德里	13	15
第三架飞机是在奥地利注册的而不是在英国注册的英国当局拒绝让该航空公司运营未经改装的飞机	1	奥地利	7	10
格温妮·比（Gwynnie Bee）最初在纽约市的公寓里用光了现在在美国和印度的5个办事处工作拥有350名员工	1	纽约市	21	24
苏里南的低人口密度和丰富的自然资源吸引了大量来自邻国巴西的移民	1	巴西	26	28
线路以66分之一的比例爬升至哈格利路以224分之一的间隔穿过罗顿公园路站然后以66分之一的比例下降至哈伯恩在一个高河岸上穿过乍得山谷	1	哈伯恩	50	53
1977年他和他的老师Yuchoku Higa一起受该国的Shorin Ryu Kyudokan Federation（由Jintatsu Higa主持）邀请访问阿根廷参加冲绳Kyudokan空手道do的阿根廷锦标赛	1	阿根廷	81	84
她在安哥拉女子国家手球队踢球并参加了2011年巴西世界女子手球锦标赛	1	巴西	23	25
它在金斯敦至蒙特哥湾航线上为牙买加小镇凤尾鱼提供服务年收入105英镑距金斯敦终点站75英里（17019公里）	1	蒙特哥湾	6	10
1757年他被派往巴黎为丹麦政府谈判贷款17601761年他在热那瓦为丹麦政府谈判了一笔巨额贷款	1	巴黎	9	11
威廉·凯尔·卡彭特（生于1989年10月17日）又名凯尔·卡彭特是一名退休的美国海军陆战队士兵因其2010年在阿富汗赫尔曼德省马尔贾的行动而获得美国最高军事荣誉——荣誉勋章	1	阿富汗	55	58
Techvaganza是一个技术管理节是印度最大的节日之一	1	印度	20	22
这些巴士主要在捷克共和国和斯洛伐克运营	1	斯洛伐克	13	17
埃伦·安德鲁斯（Ellen Andrews）是一名在巴黎工作的威奇托航空公司员工她协助米奇找到并取回棺材	1	巴黎	26	28
摩纳哥以其魅力而闻名比赛吸引了来自世界各地的富人和名人使其成为琥珀酒廊的合适场所	1	摩纳哥	0	3
它还经营跨越英国边境到卡莱尔的服务并从1988年3月5日起接管了到伦敦尤斯顿的喀里多尼亚卧铺服务	1	卡莱尔	11	14
在他的最后一年他离开医学院专注于他的宗教研究前往叙利亚和巴基斯坦在那里他在一些最伟大的学者手下学习了多年传统课程	1	巴基斯坦	28	32
它将史密斯和惠灵顿市与加利福尼亚州布里奇波特以北的加利福尼亚州线连接起来	1	惠灵顿	6	9
他的作品曾在加拿大、巴西、塞内加尔、美国、马提尼克岛、拉丁美洲、多米尼加共和国、欧洲和海地等国家展出	1	多米尼加共和国	32	39
除了被认为是瑞典最优秀的演员之一外他还是一位有三个孩子的忠实父亲	1	瑞典	6	8
它可能在毛里求斯和靠近越南边境的柬埔寨湄公河发现	1	越南	11	13
北与土耳其接壤西与黎巴嫩和以色列接壤南与约旦接壤东与伊拉克接壤	1	以色列	13	16
阿卜杜勒·哈基姆·阿舍1977年10月12日出生于阿富汗中部喀布尔以北的帕尔万省巴格拉姆区	1	阿富汗	25	28
该医院负责为居住在奥斯陆北部以及Ski、Oppegård、Nesodden、Frogn、Ås和Vestby市的17万人提供医疗服务	1	奥斯陆	9	12
1971年罗马杯决赛是罗马尼亚最负盛名的足球杯比赛的第33场决赛	1	罗马尼亚	11	15
他返回澳大利亚完成军官培训并获得飞行员军官军衔	1	澳大利亚	3	7
在节目中他使用Autovox在意大利和国外制作了类似业余爱好者的报道	1	意大利	15	18
他开创了国家作为品牌的概念并为多个城市和国家（包括伦敦、毛里求斯、北爱尔兰、波兰、葡萄牙和立陶宛）开展了品牌项目	1	北爱尔兰	33	37
它位于卢布尔雅那到马里博尔的主要高速公路的东面	1	马里博尔	9	13
2006年竣工时它是土耳其第11高的摩天大楼也是科尼亚和安纳托利亚中部地区最高的摩天大楼	1	安纳托利亚中部地区	28	37
它位于巴拿马湾西北海岸附近	1	巴拿马湾	3	7
霍卡贡岛是位于加冕湾内的一个岛屿位于加拿大努纳武特基蒂克梅奥地区维多利亚岛南部	1	霍卡贡岛	0	4
他在欧洲游荡然后来到南美在那里他旅行了委内瑞拉、哥伦比亚、厄瓜多尔、秘鲁最后是巴西	1	巴西	39	41
它成立于1942年是国家航空研究所总部设在马德里附近的托雷昂·德·阿多兹	1	马德里	21	24
他在达卡度过了童年在那里他在达卡学院学习	1	达卡	2	4
1985年苏联在阿富汗战争期间哈基姆·阿舍的家人决定离开家去巴基斯坦	1	巴基斯坦	30	34
2011年7月1日Despotović与日本的Urawa红钻石公司签约	1	日本	20	22
南非的特雷弗·伊梅尔曼在奥古斯塔国家高尔夫俱乐部赢得了2008年大师赛冠军	1	南非	0	2
因此澳大利亚的年平均气温预计将上升04–2  到2030年比1990年的水平高0℃到2070年比1990年的水平高1–6℃	1	澳大利亚	2	6
贝森巴赫河是德国巴伐利亚州的一条河流	1	德国	6	8
该名称取自1988年12月16日凌晨发生在伦敦轨道高速公路M25附近的犯罪地点	1	伦敦	21	23
该车站于1976年开通当时13号线和14号线连接巴黎	1	巴黎	24	26
福布斯罗宾逊的主要家庭住宅位于伦敦布卢姆斯伯里区中心的贝德福德广场22号	1	伦敦	15	17
Wahleach湖俗称琼斯湖是一个湖泊和水库位于加拿大不列颠哥伦比亚省较低大陆的斯卡吉特山脉奇利沃克市东部霍普镇西南部	1	斯卡吉特山脉	40	46
后来他加入了弗朗索瓦·德·图尔农（François de Tournon）于1554年陪同他前往意大利在那里他多次被派往国王的大使馆并报告了锡耶纳被围困的情况	1	意大利	48	51
1937年尼加拉瓜第一位索莫扎总统上台	1	尼加拉瓜	5	9
这座机场最初是由美国工程师在20世纪50年代末建造的	1	美国	8	10
简·麦肯齐（née Sym；1825年3月22日至1893年3月30日）是加拿大第二任首相亚历山大·麦肯齐的第二任妻子	1	加拿大	37	40
威廉姆斯·雷加拉是海地国家政府委员会的前成员	1	海地	9	11
2004年的海啸对马尔代夫30万人口中的10多万人造成了严重破坏	1	马尔代夫	9	13
当公路接近其与惠灵顿路（SR 829）的交界处时农田映入眼帘惠灵顿路通向惠灵顿指向西部	1	惠灵顿	7	10
50年代经意大利移民巴西后他在里约热内卢定居	1	意大利	5	8
海地在这里有一处世界遗产	1	海地	0	2
作为一个“聪明的年轻人”布鲁森与戴安娜·库珀女士和艾尔莎·麦克斯韦女士一起在伦敦各地组织了“寻宝”派对	1	伦敦	38	40
澳大利亚悉尼南威尔士新闻国家图书馆的图书馆技术员	1	南威尔士新闻	6	12
在英国、美国、印度和巴西双氯芬酸可作为钠盐或钾盐供应；在中国它通常作为钠盐供应而在其他一些国家它只能作为钾盐供应	1	巴西	10	12
这种海洋物种分布在印度洋（坦桑尼亚、马斯卡林群岛）和东至印度尼西亚	1	印度尼西亚	28	33
据宣布租借签约的贾马尔·法基尔将在淡季租借期满后返回法国加盟莱兹格南	1	法国	26	28
彼得·普林姆顿·史密斯（生于1945年10月31日）是美国前众议院议员来自美国s佛蒙特州第75任副州长兼教育行政官	1	佛蒙特州	40	44
Bv 202设计用于在瑞典北部的雪地或沼泽地带运送部队和装备	1	瑞典	11	13
圣安德鲁（“圣安德鲁”）是巴巴多斯十一个教区之一	1	巴巴多斯	13	17
他在1789年的贝尔格莱德风暴中脱颖而出	1	贝尔格莱德	8	13
在南美洲中部和东部的大部分地区阿根廷、玻利维亚、巴西、哥伦比亚、厄瓜多尔、法属圭亚那、圭亚那、苏里南（圭亚那）、巴拉圭、秘鲁和委内瑞拉都有发现	1	巴拉圭	56	59
她还是一个名为“治疗师的艺术”的医学生课程的创始人该课程在美国各地的医学院都有使用	1	美国	29	31
该公园位于阿尔博兹山脚下毗邻伊朗卫星地球站的一家电信公司	1	阿尔博兹	5	9
它生活在美国东部和加拿大偶尔也会下到墨西哥是该地区最常见的日间飞蛾之一腹部有两条明亮的黄色条纹很容易识别	1	墨西哥	18	21
当他被释放后凯利坦白了她与斯科特的婚外情并向罗伊透露她计划在伦敦开始新的生活	1	伦敦	30	32
她代表中国台北国家队参加了两届奥运会（2004年和2008年）	1	中国台北	3	7
克林顿是美国马里兰州乔治王子县的一个非法人人口普查指定地点（CDP）	1	克林顿	0	3
在芬兰这种帽子最早于1918年被公民卫队采用1936年被军队采用	1	芬兰	1	3
此后叙利亚仍然是倭玛亚人的主要权力基地大马士革是他们的首都	1	大马士革	19	23
RB歌曲是美国Billboard每周发布的一张排行榜	1	美国	5	7
在印度海岸发生一系列此类袭击之后一支英国远征军被派往哈伊马角洗劫了该镇放火焚烧并在港口焚烧了“50多艘”船只	1	印度	1	3
芬兰的石油运输基础设施由雀巢公司建造并拥有因此加油站通常从雀巢公司获得燃料尽管垄断地位不再受到政府的认可	1	芬兰	0	2
梧州或吴郡是中国帝国时期的一个州（郡）	1	中国	6	8
Hile是尼泊尔中部多拉吉里地区巴隆区的一个村庄发展委员会	1	尼泊尔	5	8
在访问了南美、非洲和印度之后罗德斯最终来到了澳大利亚在那里他与当地一家公司建立了合作关系以收购新西兰的土地	1	印度	10	12
汉考克在20世纪20年代、30年代和40年代在英国建造花园在30年代在美国建造花园	1	英国	23	25
法国有不同寻常的小城市	1	法国	0	2
他曾在布鲁格菲尔德球场为阿劳足球俱乐部效力直到2002年他前往德国为卡尔斯鲁厄SC踢德甲	1	德国	31	33
1956年他参加了汉斯·莱格拉夫的大师班随后在德国举办了音乐会并参观了西欧、美国和欧洲s以色列和日本	1	以色列	44	47
它东临法属圭亚那西临圭亚那	1	圭亚那	5	8
克雷默是一位不喜欢纳粹的路德教徒1939年逃离纳粹德国前往美国留下了妻子和儿子	1	美国	29	31
Plug Research标签于2006年春季发布并得到了欧洲巡演和美国各地几场演出的支持	1	美国	34	36
里普利是美国纽约州乔托夸县最西部伊利湖上的一个城镇	1	纽约	6	8
绕城高速公路是北京市的省级公路	1	北京	7	9
奥尼尔获释后他与国王密谋将英国军队带到伦敦以对抗激进的国会议员这被称为第二次军队阴谋但阴谋的发现迫使他于1641年6月中旬逃往欧洲大陆	1	伦敦	19	21
Optima是一家总部位于迈阿密的房地产投资公司由Chaim Schochet领导三分之二的股份归Privat集团所有Privat集团是乌克兰最大的商业和银行集团之一	1	迈阿密	13	16
1941年由于德国占领挪威他不得不离开挪威经瑞典前往英国在那里他在流亡供应部找到了工作	1	瑞典	22	24
它的第一任主管也是美国人会计师是从黎巴嫩雇用的	1	黎巴嫩	17	20
2016年深圳外国语学校在中国大陆排名第19位其学生进入美国顶尖大学的人数在中国大陆排名第19位	1	中国	13	15
Ashrafiyat Sahnaya是叙利亚南部的一座城市行政上属于大马士革西南部的Rif Dimashq省	1	叙利亚	19	22
到2007年其新西兰工厂每年编织95万平方米的各种草坪	1	新西兰	7	10
毛罗·巴达拉奇（1984年7月20日出生于罗马的蒂沃利）是一名意大利运动射击运动员	1	罗马	21	23
在墨西哥赢得季后赛并获得资格后埃雷拉的工作扩展到在世界杯期间执教球队	0	墨西哥	1	4
然而战后世界的条件鼓励了非殖民化和新政府的出现印度、巴基斯坦、以色列、越南和其他国家宣布独立尽管很少没有流血事件	0	巴基斯坦	26	30
他在莫纳加斯开始了他的职业生涯在2012年转会加拉加斯之前他在维尼佐拉纳打了四个赛季	0	加拉加斯	23	27
中国在2009年估计在罗马尼亚的3000名中国人包括纺织、造船、建筑和农业部门的移民工人	0	中国	0	2
重要的主题包括英国、欧洲以及该时期后期的美国的快速工业化和不断增长的实力而日本在这一时期末期逐渐成为一个大国和帝国	0	日本	37	39
英国队在上一次对澳大利亚的比赛中失利但在主场客场对阵澳大利亚队的比赛中保持不败	0	澳大利亚	8	12
乌克兰与大多数其他发展中国家一样在公共服务领域也存在着效率低下和腐败问题	0	乌克兰	0	3
加拿大和美国参加了1978年欧洲冰壶锦标赛的九支球队	0	加拿大	0	3
1965名洛杉矶道奇队以97比65的成绩完成了常规赛这场比赛为他们的对手旧金山队赢得了两场比赛	0	旧金山	36	39
他谈到需要改变工业化国家和发展中国家之间的贸易条件并申明法国愿意积极促进第三世界的发展	0	法国	28	30
赖斯修道院于1146年由卑尔根主教西格德在他所拥有的农田上建立当时挪威的基督教化即将完成	0	挪威	33	35
他帮助雷鬼男孩在点球大战中击败特立尼达和多巴哥夺得2014年CFU加勒比足球联盟（男子）冠军	0	特立尼达和多巴哥	15	23
作为1912年和1913年巴尔干战争的志愿者回到保加利亚他们带回了美国的新音乐	0	美国	33	35
1941年7月纳粹德国袭击苏联后布扎茨被德国人接管	0	苏联	13	15
印度独立后1962年至1967年间他作为斯瓦坦特拉党（Swatarra Party）的一名成员代表卡奇选区在第三人民院（Lok Sabha）投票斯瓦坦特拉党赢得了竞争对手国大党（Congress Party）的支持	0	印度	0	2
“WatersWatson”成立于1933年但在1942年日本入侵新加坡时停止运营	0	日本	29	31
比利·默多克赢得了澳大利亚队的掷骰并选择先击球	0	澳大利亚	9	13
西伦敦德比是指布伦特福德队、切尔西队、富勒姆队和皇后公园游骑兵队之间的足球德比他们都位于伦敦西部或西南部	0	富勒姆	19	22
菲律宾参加了2010年亚洲残疾人运动会——2010年12月13日至19日在中国广州举行的第一届亚洲残疾人运动会	0	菲律宾	0	3
会议结束时荷兰同意将主权移交给印度尼西亚合众国	0	荷兰	5	7
澳大利亚队率先击球在50场比赛中为9名边锋赢得240分	0	澳大利亚	0	4
阿根廷自2009年以来首次回到WRC赛程该赛程是2010年洲际拉力赛挑战赛的一部分	0	阿根廷	0	3
西班牙队在2012年黄金海岸七人赛中的得分由佩德罗·马丁（5次试射得27分）和帕布罗·菲乔（4次试射得22分）领跑	0	西班牙	0	3
拉克索诺以其傲慢的居高临下和对新加坡公开严厉的评论而闻名特别是关于该岛共和国向印度尼西亚政府发出外交呼吁以遏制笼罩苏门答腊大部分地区的刺鼻跨境烟雾由于苏门答腊岛、加里曼丹岛和其他印度尼西亚领土的大规模“刀耕火种”马来西亚半岛和新加坡每年都会出现这种情况	0	新加坡	15	18
20世纪80年代苏联向尼加拉瓜左翼政府提供了充分的政治经济军事和外交支持	0	苏联	8	10
所谓的原因是马尔代夫政府的中央集权政策及其邻国印度和锡兰最近的独立	0	印度	23	25
勒贝德瓦代表哈萨克斯坦参加了2010年冬季奥运会	0	哈萨克斯坦	6	11
美国驻阿尔巴尼亚大使是美国驻阿尔巴尼亚外交使团团长	0	美国	0	2
重要的主题包括英国、欧洲以及该时期后期的美国的快速工业化和不断增长的实力而日本在这一时期末期逐渐成为一个大国和帝国	0	英国	7	9
德国攻击苏联（1941年6月22日）	0	德国	0	2
1952年7月15日他在印度唯一一场对阵南斯拉夫的比赛中首发	0	印度	12	14
美国和法国在同一天正式承认阿尔及利亚	0	阿尔及利亚	13	18
他在80年代曾为埃勒斯利和惠灵顿效力但伤病限制了他作为守门员的职业生涯	0	惠灵顿	13	16
1962年9月29日阿尔及利亚与美国正式建立外交关系s阿尔及尔总领事馆被提升为大使馆	0	阿尔及利亚	10	15
在审议Dickerson v在美国布拉格向第四巡回法庭提交了一份法庭之友简报	0	美国	15	17
两份报纸合一的概念当时对德国来说是新的	0	德国	12	14
